uuid,speaker,sentence,letter,emotion_en,suffix,path,paths
03a01Fa,3,a01,F,happy,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a01Fa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a01Fa.wav
03a01Nc,3,a01,N,neutral,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a01Nc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a01Nc.wav
03a01Wa,3,a01,W,angry,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a01Wa,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a01Wa.wav
03a02Fc,3,a02,F,happy,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a02Fc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a02Fc.wav
03a02Nc,3,a02,N,neutral,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a02Nc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a02Nc.wav
03a02Ta,3,a02,T,sad,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a02Ta,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a02Ta.wav
03a02Wb,3,a02,W,angry,b,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a02Wb,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a02Wb.wav
03a02Wc,3,a02,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a02Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a02Wc.wav
03a04Ad,3,a04,A,afraid,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Ad,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Ad.wav
03a04Fd,3,a04,F,happy,d,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Fd,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Fd.wav
03a04Lc,3,a04,L,boring,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Lc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Lc.wav
03a04Nc,3,a04,N,neutral,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Nc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Nc.wav
03a04Ta,3,a04,T,sad,a,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Ta,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Ta.wav
03a04Wc,3,a04,W,angry,c,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Wc,C:\Users\kiran\Desktop\MiniProject\archive (6)EmoDB\wav\03a04Wc.wav
